production_df_product;price_df_product
Apples;Apples
Apples;Apples (red)
Avocados;Avocados
Bananas;Bananas
Bananas;Bananas (medium size)
Beans, dry;Beans (dry)
Beans, green;Beans (green, fresh)
Buckwheat;Buckwheat grits
Cabbages and other brassicas;Cabbage
Carrots and turnips;Carrots
Cashew nuts, with shell;Cashew
Cashewapple;Cashew
Cassava;Cassava
Cassava;Cassava (chikwangue)
Cassava;Cassava (cossette)
Cassava;Cassava (dry)
Cassava;Cassava (fresh)
Cassava;Cassava flour
Cassava;Cassava meal
Cassava;Cassava meal (attieke)
Cassava;Cassava meal (gari)
Cassava leaves;Cassava leaves
Cauliflowers and broccoli;Broccoli
Cauliflowers and broccoli;Cauliflower
Chick peas;Chickpeas
Chick peas;Chickpeas (imported)
Chick peas;Chickpeas (local)
Chillies and peppers, green;Chili (green)
Cocoa, beans;Cocoa
Coffee, green;Coffee
Cotton lint;Cotton
Cottonseed;Cotton
Cow peas, dry;Cowpeas
Cow peas, dry;Cowpeas (brown)
Cow peas, dry;Cowpeas (white)
Cucumbers and gherkins;Cucumbers
Cucumbers and gherkins;Cucumbers (greenhouse)
Dates;Dates
Eggplants (aubergines);Eggplants
Garlic;Garlic
Garlic;Garlic (small)
Groundnuts, with shell;Groundnuts (shelled)
Groundnuts, with shell;Groundnuts (small, shelled)
Groundnuts, with shell;Groundnuts (large, shelled)
Lentils;Lentils (imported)
Lentils;Lentils (masur)
Lentils;Lentils (moong)
Lentils;Lentils (urad)
Lettuce and chicory;Lettuce
Maize;Maize
Maize;Maize (imported)
Maize;Maize (local)
Maize;Maize (white)
Maize;Maize (yellow)
Mangoes, mangosteens, guavas;Mangoes
Oil, palm;Oil (palm)
Onions, dry;Onions
Onions. Dry;Onions (dry, local)
Oranges;Oranges
Oranges;Oranges (big size)
Papayas;Papaya
Peas, dry;Peas (dry)
Plantains and others;Plantains
Plantains and others;Plantains (apentu)
Potatoes;Potatoes
Potatoes;Potatoes (Dutch)
Potatoes;Potatoes (Irish)
Potatoes;Potatoes (Irish, imilla)
Potatoes;Potatoes (black)
Potatoes;Potatoes (medium size)
Potatoes;Potatoes (unica)
Pulses, Total;Pulses
Pumpkins, squash and gourds;Pumpkin
Rice, paddy;Rice (paddy)
Sesame seed;Sesame
Sorghum;Sorghum
Sorghum;Sorghum (berbere)
Sorghum;Sorghum (brown)
Sorghum;Sorghum (food aid)
Sorghum;Sorghum (red)
Sorghum;Sorghum (taghalit)
Sorghum;Sorghum (white)
Soybeans;Soybeans
Spinach;Spinach
Sweet potatoes;Sweet potatoes
Tea;Tea
Tea;Tea (black)
Tea;Tea (green)
Tea;Tea (herbal)
Tea;Tea (sahm)
Tomatoes;Tomatoes
Tomatoes;Tomatoes (greenhouse)
Tomatoes;Tomatoes (paste)
Wheat;Wheat
Yams;Yam
Yams;Yam (Abuja)
Yams;Yam (florido)
